,var_type,in_degree,out_degree,betweenness,pagerank,eigenvector
absorption_land_gha,component,3,1,0.001278940450914973,0.004934638904685004,0.005268057450305035
persistent_pollution_generation_rate,component,3,2,0.05995009893554025,0.008350517008671208,0.031381527792854864
ha_per_unit_of_pollution,constant,0,1,0.0,0.0006492933606488698,0.0007999538986803585
ha_per_gha,constant,0,3,0.0,0.0006492933606488698,0.0012409293043449355
agricultural_input_per_hectare,component,3,4,0.034972266974086806,0.010895625779669516,0.012233538840806581
fraction_of_agricultural_inputs_for_land_maintenance,component,2,2,0.014605894728733674,0.0027534840440829986,0.0023227531982625955
agricultural_inputs,stateful,2,1,0.009521113470158056,0.008482621092376326,0.026163743378880146
arable_land,stateful,4,7,0.0985631719071211,0.01537067465732528,0.013271598572223488
average_life_agricultural_inputs,component,4,2,0.003668317999528191,0.0018105507517550338,0.14683060874800394
current_agricultural_inputs,component,2,1,0.006470528763522394,0.00830906107831312,0.013241287110560796
agricultural_material_toxicity_index,constant,0,1,0.0,0.0006492933606488698,0.0013751392690382388
air_pollution_policy_implementation_time,constant,0,1,0.0,0.0006492933606488698,0.014813493708512197
land_development_rate,component,3,2,0.05821958043978054,0.011070300861423157,0.012344352020625608
land_removal_for_urban_and_industrial_use,component,3,2,0.0335320841326301,0.004742526037772387,0.004824629009480837
initial_arable_land,constant,0,1,0.0,0.0006492933606488698,0.002015352893361196
land_erosion_rate,component,2,1,0.014395843262995221,0.008771204989914938,0.004237179356740289
arable_land_in_gigahectares_gha,component,2,1,0.0015536009166582415,0.0027008960763649473,0.0023966796294210622
assimilation_half_life,component,2,1,0.005237084217975938,0.0034311573663014807,0.00016266420314087264
assimilation_half_life_in_1970,constant,0,1,0.0,0.0006492933606488698,2.4699818687942985e-05
assimilation_half_life_multiplier,component,2,1,0.0046001415428167025,0.00262337538455295,0.0007799866835446775
assimilation_half_life_mult_table,lookup,0,1,0.0,0.0006492933606488698,0.00011843730475289003
persistent_pollution_index,component,2,4,0.06359819653268245,0.006697508852565261,0.004855604868723843
average_industrial_output_per_capita,stateful,2,1,0.0017389546051966435,0.0013868102362986664,0.0211816635280453
income_expectation_averaging_time,constant,0,1,0.0,0.0006492933606488698,0.0032169572502055727
industrial_output_per_capita,component,2,13,0.1291646716387263,0.002840324790421333,0.11318988486133072
policy_year,constant,0,16,0.0,0.0006492933606488698,0.3687257038450138
time,other,0,24,0.0,0.0006492933606488698,0.48983165943333296
average_life_of_agricultural_inputs_1,constant,0,1,0.0,0.0006492933606488698,0.022295455165550333
average_life_of_agricultural_inputs_2,constant,0,1,0.0,0.0006492933606488698,0.022295455165550333
average_life_of_industrial_capital,component,4,1,0.0035832238061537422,0.0018105507517550338,0.1408486445031288
average_life_of_industrial_capital_2,constant,0,1,0.0,0.0006492933606488698,0.021387142736865178
average_life_of_industrial_capital_1,constant,0,1,0.0,0.0006492933606488698,0.021387142736865178
average_life_of_land,component,2,1,0.013273370211495782,0.007349334163479528,0.014632201784222506
land_life_multiplier_from_land_yield,component,5,1,0.012636427536336545,0.00723520926525925,0.08990346637527974
average_life_of_land_normal,constant,0,1,0.0,0.0006492933606488698,0.0022218264633790934
average_life_of_service_capital,component,4,1,0.003563003403767735,0.0018105507517550338,0.1405705629821489
average_life_of_service_capital_2,constant,0,1,0.0,0.0006492933606488698,0.0213449104148702
average_life_of_service_capital_1,constant,0,1,0.0,0.0006492933606488698,0.0213449104148702
birth_rate,component,3,0,0.0,0.008599630343448765,0.026930270761422796
thousand,constant,0,2,0.0,0.0006492933606488698,0.006366146740490971
births,component,6,2,0.06407597892951397,0.016404192084079606,0.1014767836825461
population,component,4,10,0.14824373396693558,0.008233372848059826,0.06949784487841479
deaths,component,4,2,0.0041187777180625605,0.007484956126952141,0.022846330311857472
population_equilibrium_time,constant,0,1,0.0,0.0006492933606488698,0.015409045336675054
total_fertility,component,3,1,0.05687047696984973,0.01228190593629748,0.035526244314261254
reproductive_lifetime,constant,0,1,0.0,0.0006492933606488698,0.015409045336675054
population_15_to_44,stateful,4,5,0.034573134384146754,0.0059357768235995464,0.03249824357848277
