,cycles
population,1831276
life_expectancy,1821608
industrial_output,1791059
arable_land,1584918
land_yield,1534184
population_0_to_14,1520295
agricultural_input_per_hectare,1491397
labor_utilization_fraction,1490236
capacity_utilization_fraction,1490236
delayed_labor_utilization_fraction,1490236
industrial_output_per_capita,1488827
service_output_per_capita,1443257
food_per_capita,1431930
births,1398965
jobs,1363918
population_15_to_44,1308817
service_output,1281397
persistent_pollution,1254088
persistent_pollution_index,1254087
persistent_pollution_generation_rate,1254086
persistent_pollution_appearance_rate,1254086
fraction_of_industrial_output_allocated_to_agriculture,1195058
total_agricultural_investment,1178288
land_development_rate,1122378
current_agricultural_inputs,1101828
agricultural_inputs,1101828
maturation_14_to_15,1099756
population_45_to_64,1065188
food,1058136
fraction_of_agricultural_inputs_allocated_to_land_development,1045917
effective_health_services_per_capita,1017170
lifetime_multiplier_from_health_services,1017170
health_services_per_capita,1017170
persistent_pollution_generation_agriculture,1005299
maturation_44_to_45,938376
industrial_capital,833066
industrial_capital_investment,833065
deaths,801544
fraction_of_industrial_output_allocated_to_investment,794519
fraction_of_industrial_output_allocated_to_services,764888
potential_jobs_agricultural_sector,718139
maturation_64_to_65,669004
population_65_plus,613645
land_yield_multiplier_from_air_pollution,598946
fraction_of_industrial_output_allocated_to_agriculture_2,597529
fraction_of_industrial_output_allocated_to_agriculture_1,597529
industrial_capital_output_ratio_2,581059
industrial_capital_output_ratio,581059
marginal_productivity_of_land_development,573136
land_erosion_rate,557645
average_life_of_land,557644
land_life_multiplier_from_land_yield,557644
indicated_food_per_capita,550336
land_fertility,528400
total_fertility,525786
food_ratio,519861
lifetime_multiplier_from_health_services_2,508585
lifetime_multiplier_from_health_services_1,508585
lifetime_multiplier_from_persistent_pollution,499079
mortality_15_to_44,495491
indicated_services_output_per_capita,475952
service_capital,473747
service_capital_investment,473746
marginal_productivity_of_agricultural_inputs,472781
land_fertility_degredation,418986
land_fertility_degredation_rate,418985
jobs_per_hectare,411332
mortality_45_to_64,408199
potential_jobs_industrial_sector,400147
mortality_0_to_14,397948
land_yield_multiplier_from_capital,390808
fraction_of_industrial_output_allocated_to_services_1,382444
fraction_of_industrial_output_allocated_to_services_2,382444
deaths_45_to_64,359036
resource_usage_rate,355558
deaths_65_plus,348950
persistent_pollution_technology,336023
persistent_pollution_technology_change_rate,336023
persistent_pollution_generation_factor,336022
persistent_pollution_generation_factor_2,336022
persistent_pollution_technology_change_multiplier,336022
industrial_capital_output_ratio_multiplier_from_pollution_technology,336021
fertility_control_effectiveness,301243
fertility_control_facilities_per_capita,301243
fertility_control_allocation_per_capita,301243
deaths_15_to_44,300500
land_yield_multipler_from_air_pollution_1,299473
land_yield_multiplier_from_air_pollution_2,299473
potentially_arable_land,287118
development_cost_per_hectare,287118
fraction_of_agricultural_inputs_for_land_maintenance,283929
perceived_food_ratio,283929
land_life_multiplier_from_land_yield_2,278822
land_life_multiplier_from_land_yield_1,278822
indicated_food_per_capita_2,275168
indicated_food_per_capita_1,275168
lifetime_multiplier_from_food,267347
desired_total_fertility,254186
persistent_pollution_generation_industry,248786
potential_jobs_service_sector,245632
indicated_services_output_per_capita_2,237976
indicated_services_output_per_capita_1,237976
nonrenewable_resources,237038
fraction_of_industrial_capital_allocated_to_obtaining_resources,237038
fraction_of_resources_remaining,237038
land_yield_technology,235933
land_yield_technology_change_rate,235933
land_yield_multiplier_from_technology,235932
land_yield_factor_2,235932
land_yield_technology_change_rate_multiplier,235932
need_for_fertility_control,224543
fraction_services_allocated_to_fertility_control,224543
per_capita_resource_use_multiplier,208112
deaths_0_to_14,194902
completed_multiplier_from_perceived_lifetime,194900
perceived_life_expectancy,194900
maximum_total_fertility,194900
fecundity_multiplier,194900
land_removal_for_urban_and_industrial_use,192014
urban_and_industrial_land_required,192013
mortality_65_plus,130170
industrial_capital_output_ratio_multiplier_from_land_yield_technology,126519
labor_force,126318
resource_conservation_technology,118521
resource_technology_change_rate,118521
resource_use_fact_2,118520
resource_technology_change_rate_multiplier,118520
resource_use_factor,118520
industrial_capital_output_ratio_multiplier_from_resource_conservation_technology,118519
fraction_of_capital_allocated_to_obtaining_resources_1,118519
fraction_of_capital_allocated_to_obtaining_resources_2,118519
land_fertility_regeneration,109414
land_fertility_regeneration_time,109413
marginal_land_yield_multiplier_from_capital,93381
urban_and_industrial_land_required_per_capita,67025
jobs_per_service_capital_unit,60451
desired_completed_family_size,59286
fraction_of_industrial_output_allocated_to_consumption,47799
fraction_of_industrial_output_allocated_to_consumption_variable,47799
jobs_per_industrial_capital_unit,42640
family_income_expectation,39524
family_response_to_social_norm,39524
lifetime_multiplier_from_crowding,38012
crowding_multiplier_from_industry,37677
delayed_industrial_output_per_capita,19762
social_family_size_normal,19762
average_industrial_output_per_capita,19762
fraction_of_population_urban,335
persistent_pollution_assimilation_rate,2
assimilation_half_life,1
assimilation_half_life_multiplier,1
industrial_capital_depreciation,1
service_capital_depreciation,1
urban_and_industrial_land,1
